"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU00605";"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"unclassified_Orbiliaceae";"unclassified_Orbiliaceae"
"FU00606";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00607";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"unclassified_Helotiales_fam_Incertae_sedis";"unclassified_Helotiales_fam_Incertae_sedis"
"FU00608";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"unclassified_Chaetomiaceae";"unclassified_Chaetomiaceae"
"FU00609";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Cistella";"Cistella_sp"
"FU00610";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00611";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporales_fam_Incertae_sedis";"unclassified_Pleosporales_fam_Incertae_sedis";"unclassified_Pleosporales_fam_Incertae_sedis"
"FU00612";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00613";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00614";"Fungi";"Ascomycota";"Eurotiomycetes";"Verrucariales";"Verrucariaceae";"unclassified_Verrucariaceae";"unclassified_Verrucariaceae"
"FU00615";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_peltigerae"
"FU00616";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00617";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lophiotremataceae";"Lophiotrema";"Lophiotrema_rubi"
"FU00618";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Cyphellophoraceae";"Cyphellophora";"Cyphellophora_suttonii"
"FU00619";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU00620";"Fungi";"Ascomycota";"Lecanoromycetes";"Teloschistales";"Teloschistaceae";"Flavoplaca";"Flavoplaca_sp"
"FU00621";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreales_fam_Incertae_sedis";"Trichothecium";"Trichothecium_sp"
"FU00622";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Beauveria";"Beauveria_pseudobassiana"
"FU00623";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Dictyosporiaceae";"Dictyosporium";"Dictyosporium_sp"
"FU00624";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00625";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00626";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00627";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00628";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Podospora";"Podospora_longicollis"
"FU00629";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Metarhizium";"Metarhizium_carneum"
"FU00630";"Fungi";"Ascomycota";"Taphrinomycetes";"Taphrinales";"unclassified_Taphrinales";"unclassified_Taphrinales";"unclassified_Taphrinales"
"FU00631";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"unclassified"
"FU00632";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Neoascochyta";"Neoascochyta_sp"
"FU00633";"Fungi";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Gamsia";"Gamsia_simplex"
"FU00635";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Articulospora";"unclassified"
"FU00636";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00637";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"Paraphoma_chrysanthemicola"
"FU00638";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00639";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00640";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Piskurozymaceae";"Solicoccozyma";"Solicoccozyma_terrea"
"FU00641";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00642";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Articulospora";"Articulospora_sp"
"FU00643";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00644";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00645";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00646";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU00647";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU00648";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00649";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
"FU00650";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodosporidiobolus";"Rhodosporidiobolus_colostri"
"FU00651";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Cyphellophoraceae";"Cyphellophora";"Cyphellophora_suttonii"
"FU00652";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodotorula";"Rhodotorula_sp"
"FU00653";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00654";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00655";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Trichomerium";"Trichomerium_sp"
"FU00656";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00657";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00658";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00659";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00660";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU00661";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00662";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Sporobolomyces";"Sporobolomyces_phaffii"
"FU00663";"Fungi";"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Pseudogymnoascus";"Pseudogymnoascus_sp"
"FU00664";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00665";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00666";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"unclassified_Hyaloscyphaceae";"unclassified_Hyaloscyphaceae"
"FU00667";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";"Preussia";"Preussia_sp"
"FU00668";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00669";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Metarhizium";"Metarhizium_marquandii"
"FU00670";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella_cucumerina"
"FU00671";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00672";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00673";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00674";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Sporobolomyces";"Sporobolomyces_roseus"
"FU00675";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Sporobolomyces";"Sporobolomyces_roseus"
"FU00676";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Rutstroemiaceae";"unclassified_Rutstroemiaceae";"unclassified_Rutstroemiaceae"
"FU00677";"Fungi";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"Serendipita";"Serendipita_sp"
"FU00678";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Volutella";"Volutella_sp"
"FU00679";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00680";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";"Neonectria_hederae"
"FU00681";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00682";"Fungi";"Basidiomycota";"Agaricomycetes";"Corticiales";"Corticiaceae";"Marchandiobasidium";"Marchandiobasidium_sp"
"FU00683";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00684";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales"
"FU00685";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00686";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00687";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00688";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Funneliformis";"Funneliformis_mosseae"
"FU00689";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys";"Clonostachys_rosea"
"FU00690";"Fungi";"Rozellomycota";"Rozellomycotina_cls_Incertae_sedis";"GS08";"unclassified_GS08";"unclassified_GS08";"unclassified_GS08"
"FU00691";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00692";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00693";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00694";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Leptosphaeriaceae";"Plenodomus";"Plenodomus_biglobosus"
"FU00695";"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Cystofilobasidiaceae";"Guehomyces";"Guehomyces_pullulans"
"FU00696";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00697";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00698";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Cercophora";"Cercophora_samala"
"FU00699";"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Ascobolaceae";"Ascobolus";"Ascobolus_sp"
"FU00700";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00701";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Cercophora";"Cercophora_samala"
"FU00702";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Metarhizium";"Metarhizium_marquandii"
"FU00703";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"unclassified_Mortierellales";"unclassified_Mortierellales";"unclassified_Mortierellales"
"FU00704";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00705";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00706";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00707";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymosphaeriaceae";"Pseudopithomyces";"Pseudopithomyces_sp"
"FU00708";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Schizothecium";"Schizothecium_carpinicola"
"FU00709";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Naganishia";"unclassified"
"FU00710";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"unclassified_Lentitheciaceae";"unclassified_Lentitheciaceae"
"FU00711";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00712";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00713";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Cucurbitariaceae";"Pyrenochaetopsis";"Pyrenochaetopsis_sp"
"FU00714";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Glomus";"Glomus_macrocarpum"
"FU00715";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00716";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU00717";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_peltigerae"
"FU00718";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Cyphellophoraceae";"Cyphellophora";"Cyphellophora_pauciseptata"
"FU00719";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00720";"Fungi";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Sebacinaceae";"Chaetospermum";"Chaetospermum_chaetosporum"
"FU00721";"Fungi";"Ascomycota";"Sordariomycetes";"Xylariales";"Microdochiaceae";"Microdochium";"Microdochium_sp"
"FU00722";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00723";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU00724";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00725";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00726";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00727";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";"unclassified"
"FU00728";"Fungi";"Ascomycota";"Lecanoromycetes";"Caliciales";"Caliciaceae";"Amandinea";"Amandinea_sp"
"FU00729";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU00730";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";"Ilyonectria_mors-panacis"
"FU00731";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Glomerellaceae";"Colletotrichum";"Colletotrichum_sp"
"FU00732";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00733";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Funneliformis";"Funneliformis_mosseae"
"FU00734";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Leptosphaeriaceae";"Plenodomus";"Plenodomus_biglobosus"
"FU00735";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00736";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00737";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00738";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"unclassified"
"FU00739";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Goffeauzyma";"Goffeauzyma_gilvescens"
"FU00740";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00741";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
"FU00742";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae"
"FU00743";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU00744";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys";"Clonostachys_intermedia"
"FU00745";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00746";"Fungi";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"Serendipita";"Serendipita_sp"
"FU00747";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00748";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00749";"Fungi";"Basidiomycota";"Agaricomycetes";"Thelephorales";"Thelephoraceae";"unclassified_Thelephoraceae";"unclassified_Thelephoraceae"
"FU00750";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Hypholoma";"Hypholoma_fasciculare"
"FU00751";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU00752";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00753";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";"Didymella_urticicola"
"FU00754";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Teratosphaeriaceae";"Devriesia";"Devriesia_sp"
"FU00755";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00756";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_lecanii-corni"
"FU00757";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00758";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00759";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00760";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"unclassified"
"FU00761";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00762";"Fungi";"Basidiomycota";"Wallemiomycetes";"Wallemiales";"Wallemiaceae";"Wallemia";"Wallemia_sp"
"FU00763";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_elongata"
"FU00764";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00765";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Articulospora";"Articulospora_proliferata"
"FU00766";"Fungi";"Ascomycota";"Sordariomycetes";"Coniochaetales";"unclassified_Coniochaetales";"unclassified_Coniochaetales";"unclassified_Coniochaetales"
"FU00767";"Fungi";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"Serendipita";"Serendipita_sp"
"FU00768";"Fungi";"Ascomycota";"Lecanoromycetes";"Teloschistales";"Teloschistaceae";"Flavoplaca";"Flavoplaca_sp"
"FU00769";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Mycosphaerellaceae";"Septoria";"Septoria_sp"
"FU00770";"Fungi";"Ascomycota";"Dothideomycetes";"Dothideomycetes_ord_Incertae_sedis";"Eremomycetaceae";"Arthrographis";"Arthrographis_sp"
"FU00771";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU00772";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_tsunedae"
"FU00773";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Piskurozymaceae";"Solicoccozyma";"Solicoccozyma_aeria"
"FU00774";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00775";"Fungi";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycetales_fam_Incertae_sedis";"Candida";"Candida_sp"
"FU00776";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU00777";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Glomus";"Glomus_macrocarpum"
"FU00778";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae"
"FU00779";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00780";"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"unclassified_Tremellales";"unclassified_Tremellales";"unclassified_Tremellales"
"FU00781";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Glomus";"Glomus_macrocarpum"
"FU00782";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodotorula";"Rhodotorula_ingeniosa"
"FU00783";"Fungi";"Basidiomycota";"Agaricomycetes";"Corticiales";"Corticiaceae";"Laetisaria";"Laetisaria_arvalis"
"FU00784";"Fungi";"Ascomycota";"Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes";"unclassified_Eurotiomycetes"
"FU00785";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
