"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU02351";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Naganishia";"Naganishia_diffluens"
"FU02352";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU02353";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Rhodotorula";"Rhodotorula_kratochvilovae"
"FU02354";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02355";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02356";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Lepista";"Lepista_nuda"
"FU02357";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU02358";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"unclassified_Nectriaceae";"unclassified_Nectriaceae"
"FU02359";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_pseudozygospora"
"FU02360";"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Cystofilobasidiaceae";"Cystofilobasidium";"Cystofilobasidium_macerans"
"FU02361";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Pochonia";"Pochonia_sp"
"FU02362";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU02363";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU02364";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Cyphellophoraceae";"Cyphellophora";"Cyphellophora_laciniata"
"FU02365";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Tricholoma";"Tricholoma_sp"
"FU02366";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU02367";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02368";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";"Curvularia";"Curvularia_inaequalis"
"FU02369";"Fungi";"Basidiomycota";"Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes"
"FU02370";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_peltigerae"
"FU02371";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02372";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusicolla";"Fusicolla_acetilerea"
"FU02373";"Fungi";"Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota";"unclassified_Rozellomycota"
"FU02374";"Fungi";"Ascomycota";"Sordariomycetes";"Xylariales";"Diatrypaceae";"Peroneutypa";"Peroneutypa_sp"
"FU02375";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Thanatephorus";"Thanatephorus_cucumeris"
"FU02376";"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Tuber";"Tuber_oligospermum"
"FU02377";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"Chaetomium_angustispirale"
"FU02378";"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Tuber";"Tuber_borchii"
"FU02379";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU02380";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"Cercophora";"Cercophora_vinosa"
"FU02381";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lophiostomataceae";"Guttulispora";"Guttulispora_sp"
"FU02382";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02383";"Fungi";"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Pseudeurotium";"unclassified"
"FU02384";"Fungi";"Basidiomycota";"Microbotryomycetes";"Sporidiobolales";"Sporidiobolaceae";"Sporobolomyces";"Sporobolomyces_sp"
