group;kingdom;phylum;class;order;family;genus;species
ASV00640;Fungi(100);Basidiomycota(100);Tremellomycetes(100);Filobasidiales(100);Piskurozymaceae(100);Solicoccozyma(100);Solicoccozyma_terrea(100)
ASV00641;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(100);Ceratobasidiaceae(100);unclassified;unclassified
ASV00642;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(100);Articulospora(100);Articulospora_sp(91)
ASV00643;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00644;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(100);Ceratobasidiaceae(100);unclassified_Ceratobasidiaceae(96);Ceratobasidiaceae_sp(96)
ASV00645;Fungi(100);Rozellomycota(66);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);Rozellomycota_sp(64)
ASV00646;Fungi(100);Ascomycota(74);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00647;Fungi(100);Ascomycota(100);Eurotiomycetes(100);Chaetothyriales(100);Herpotrichiellaceae(100);Rhinocladiella(100);Rhinocladiella_sp(100)
ASV00648;Fungi(100);Mortierellomycota(100);Mortierellomycetes(100);Mortierellales(100);Mortierellaceae(100);Mortierella(100);Mortierella_alpina(95)
ASV00649;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Fusarium(68);unclassified
ASV00650;Fungi(100);Basidiomycota(100);Microbotryomycetes(100);Sporidiobolales(100);Sporidiobolaceae(100);Rhodosporidiobolus(100);Rhodosporidiobolus_colostri(100)
ASV00651;Fungi(100);Ascomycota(100);Eurotiomycetes(100);Chaetothyriales(100);Cyphellophoraceae(100);Cyphellophora(100);Cyphellophora_suttonii(68)
ASV00652;Fungi(100);Basidiomycota(100);Microbotryomycetes(100);Sporidiobolales(98);Sporidiobolaceae(98);Rhodotorula(98);Rhodotorula_ingeniosa(98)
ASV00653;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);unclassified;unclassified;unclassified
ASV00654;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00655;Fungi(100);Ascomycota(100);Eurotiomycetes(92);Chaetothyriales(92);Trichomeriaceae(92);Trichomerium(62);Trichomerium_foliicola(60)
ASV00656;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00657;Fungi(100);Olpidiomycota(98);Olpidiomycetes(98);Olpidiales(98);Olpidiaceae(81);Olpidium(81);Olpidium_brassicae(81)
ASV00658;Fungi(100);Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);Rozellomycota_sp(64)
ASV00659;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00660;Fungi(100);Ascomycota(100);Sordariomycetes(97);unclassified;unclassified;unclassified;unclassified
ASV00661;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00662;Fungi(100);Basidiomycota(100);Microbotryomycetes(100);Sporidiobolales(100);Sporidiobolaceae(100);Sporobolomyces(100);Sporobolomyces_phaffii(99)
ASV00663;Fungi(100);Ascomycota(100);Leotiomycetes(100);Thelebolales(100);Pseudeurotiaceae(100);Pseudogymnoascus(97);Pseudogymnoascus_verrucosus(93)
ASV00664;Fungi(100);Rozellomycota(60);unclassified_Rozellomycota(60);unclassified_Rozellomycota(60);unclassified_Rozellomycota(60);unclassified_Rozellomycota(60);Rozellomycota_sp(60)
ASV00665;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00666;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Hyaloscyphaceae(77);unclassified;unclassified
ASV00667;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Sporormiaceae(100);Preussia(100);Preussia_sp(88)
ASV00668;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00669;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Clavicipitaceae(100);Metarhizium(100);Metarhizium_marquandii(100)
ASV00670;Fungi(100);Ascomycota(100);Sordariomycetes(100);Glomerellales(100);Plectosphaerellaceae(100);Plectosphaerella(100);Plectosphaerella_cucumerina(89)
ASV00671;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00672;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00673;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00674;Fungi(100);Basidiomycota(100);Microbotryomycetes(97);Sporidiobolales(97);Sporidiobolaceae(97);Sporobolomyces(94);Sporobolomyces_roseus(87)
ASV00675;Fungi(100);Basidiomycota(100);Microbotryomycetes(98);Sporidiobolales(98);Sporidiobolaceae(98);Sporobolomyces(98);Sporobolomyces_roseus(98)
ASV00676;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Rutstroemiaceae(100);unclassified_Rutstroemiaceae(100);Rutstroemiaceae_sp(100)
ASV00677;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Sebacinales(100);Serendipitaceae(100);Serendipita(100);Serendipita_sp(100)
ASV00678;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Volutella(95);Volutella_sp(85)
ASV00679;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00680;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Nectriaceae(100);Neonectria(100);Neonectria_hederae(100)
ASV00681;Fungi(100);Basidiomycota(61);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00682;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Corticiales(100);Corticiaceae(100);Marchandiobasidium(100);Marchandiobasidium_aurantiacum(100)
ASV00683;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00684;Fungi(100);Olpidiomycota(84);Olpidiomycetes(84);Olpidiales(84);unclassified_Olpidiales(68);unclassified_Olpidiales(68);Olpidiales_sp(68)
ASV00685;Fungi(100);Basidiomycota(70);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00686;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00687;Fungi(100);Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);unclassified_Rozellomycota(64);Rozellomycota_sp(64)
ASV00688;Fungi(100);Glomeromycota(100);Glomeromycetes(100);Glomerales(100);Glomeraceae(100);Funneliformis(99);Funneliformis_mosseae(66)
ASV00689;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Bionectriaceae(98);Clonostachys(96);Clonostachys_rosea(96)
